"File"	"Speaker"	"Wordcount"
"DGI149"	"MG"	1886
"DGI151"	"IM"	348
"DGI151"	"RS"	1953
"DGI152"	"CP"	1690
"DGI152"	"IA"	278
"DGI154"	"BM"	2135
"DGI154"	"IM"	76
"DGI155"	"IT"	241
"DGI155"	"RT"	1903
"DGI157"	"IM"	228
"DGI157"	"PK"	2961
"DGI158"	"AW"	1744
"DGI158"	"IH"	228
"DGI160"	"AS"	1916
"DGI160"	"IT"	326
"DGI163"	"IT"	157
"DGI163"	"PW"	2413
"DGI167"	"IM"	479
"DGI167"	"LP"	1541
"DGI172"	"EP"	2267
"DGI172"	"IH"	396
"DGI173"	"IB"	657
"DGI173"	"NH"	1375
"DGI175"	"BB"	2051
"DGI175"	"CC"	122
"DGI175"	"IA"	38
"DGU001"	"??"	31
"DGU001"	"DC"	501
"DGU001"	"DK"	70
"DGU001"	"EP"	71
"DGU001"	"ET"	61
"DGU001"	"GG"	12
"DGU001"	"GP"	107
"DGU001"	"JB"	125
"DGU001"	"KB"	563
"DGU001"	"RP"	284
"DGU001"	"RR"	143
"DGU002"	"KO"	1850
"DGU002"	"RP"	198
"DGU002"	"XS"	8
"DGU003"	"HC"	1756
"DGU003"	"RM"	8
"DGU003"	"XS"	43
"DGU006"	"BD"	1157
"DGU006"	"HC"	156
"DGU006"	"KB"	136
"DGU006"	"XX"	8
"DGU007"	"RM"	58
"DGU007"	"SJ"	138
"DGU007"	"WC"	2300
"DGU007"	"XX"	90
"DGU007"	"XY"	827
"DGU009"	"PD"	526
"DGU009"	"SJ"	71
"DGU010"	"??"	2
"DGU010"	"PD"	1274
"DGU010"	"PE"	833
"DGU010"	"XS"	5
"DGU011"	"BD"	798
"DGU011"	"JB"	1357
"DGU011"	"PE"	56
"DGU011"	"SJ"	41
"DGU012"	"JK"	1639
"DGU012"	"XM"	117
"DGU012"	"XS"	179
"DGU013"	"??"	8
"DGU013"	"PD"	675
"DGU013"	"SJ"	27
"DGU016"	"ET"	569
"DGU017"	"??"	4
"DGU017"	"BD"	685
"DGU017"	"PE"	975
"DGU017"	"XS"	19
"DGU018"	"??"	19
"DGU018"	"BB"	52
"DGU018"	"BS"	58
"DGU018"	"CM"	277
"DGU018"	"DM"	33
"DGU018"	"HD"	34
