"File"	"Speaker"	"Wordcount"
"DPC185"	"FN"	1171
"DPC185"	"MS"	25
"DPC185"	"RB"	1446
"DPC187"	"QR"	1242
"DPC187"	"WC"	847
"DPC188"	"CH"	1792
"DPC188"	"KM"	771
"DPC189"	"AW"	959
"DPC189"	"BQ"	1097
"DPC190"	"AL"	1184
"DPC190"	"BB"	720
"DPC190"	"XF"	16
"DPC191"	"FF"	609
"DPC191"	"MH"	1269
"DPC192"	"FA"	1024
"DPC192"	"FB"	985
"DPC193"	"FA"	1144
"DPC193"	"FB"	878
"DPC194"	"FC"	1011
"DPC194"	"MK"	959
"DPC195"	"BN"	1034
"DPC195"	"QI"	975
"DPC197"	"BR"	505
"DPC197"	"MC"	1699
"DPC198"	"GW"	1352
"DPC198"	"MT"	619
"DPC201"	"FA"	1050
"DPC201"	"FB"	965
"DPC201"	"XX"	2
"DPC202"	"??"	2
"DPC202"	"AN"	671
"DPC202"	"BD"	811
"DPC202"	"CH"	607
"DPC203"	"FJ"	502
"DPC203"	"MC"	1104
"DPC203"	"MG"	439
"DPC204"	"GP"	603
"DPC204"	"JA"	358
"DPC204"	"TH"	1042
"DPC204"	"XX"	9
"DPC205"	"??"	5
"DPC205"	"GH"	234
"DPC205"	"JT"	812
"DPC205"	"LE"	237
"DPC205"	"RB"	808
"DPC206"	"??"	3
"DPC206"	"CR"	1223
"DPC206"	"JM"	615
"DPC206"	"SA"	194
"DPC206"	"XX"	352
"DPC207"	"AU"	1052
"DPC207"	"BY"	927
"DPC209"	"HM"	1146
"DPC209"	"SB"	849
"DPC211"	"DM"	1224
"DPC211"	"HI"	807
"DPC212"	"SL"	992
"DPC212"	"TM"	884
"DPC212"	"TP"	1
"DPC213"	"AL"	1205
"DPC213"	"BY"	888
"DPC213"	"XX"	7
"DPC214"	"BH"	1278
"DPC214"	"UV"	706
"DPC215"	"AU"	657
"DPC215"	"BY"	580
"DPC215"	"CH"	925
"DPC216"	"EM"	1469
"DPC216"	"HI"	850
"DPC217"	"FA"	1294
"DPC217"	"FB"	1047
"DPC218"	"LY"	1461
"DPC218"	"MK"	560
"DPC219"	"AL"	1417
"DPC219"	"SI"	652
"DPC220"	"IT"	1154
"DPC220"	"RN"	879
"DPC221"	"AN"	1714
"DPC221"	"BU"	961
"DPC222"	"AB"	1056
"DPC222"	"LC"	911
"DPC223"	"AL"	409
"DPC223"	"BN"	1636
"DPC224"	"??"	4
"DPC224"	"AD"	791
"DPC224"	"BT"	736
"DPC224"	"CS"	545
"DPC225"	"AD"	1103
"DPC225"	"BY"	980
"DPC226"	"AN"	1467
"DPC226"	"BB"	608
"DPC227"	"BL"	1383
"DPC227"	"HE"	635
"DPC228"	"DI"	778
"DPC228"	"MR"	1241
"DPC228"	"XX"	197
"DPC229"	"FR"	598
"DPC229"	"MK"	1415
"DPC230"	"MR"	1065
"DPC230"	"PT"	977
"DPC232"	"AN"	635
"DPC232"	"TM"	1422
"DPC232"	"XX"	873
"DPC233"	"LD"	948
"DPC233"	"MQ"	1050
"DPC233"	"NT"	437
"DPC234"	"AS"	1213
"DPC234"	"BT"	1076
"DPC234"	"XX"	1
"DPC235"	"DR"	1086
"DPC235"	"IV"	965
"DPC237"	"DV"	751
"DPC237"	"TR"	1282
"DPC238"	"CE"	982
"DPC238"	"DN"	1003
"DPC240"	"EL"	892
"DPC240"	"KT"	1243
"DPC241"	"AD"	1105
"DPC241"	"BG"	1215
"DPC242"	"DV"	1202
"DPC242"	"SU"	836
"DPC243"	"AH"	1321
"DPC243"	"BK"	1156
"DPC244"	"FR"	688
"DPC244"	"MI"	1432
"DPC245"	"DA"	634
"DPC245"	"RB"	1579
"DPC246"	"AN"	1742
"DPC246"	"BL"	1210
"DPC248"	"FY"	551
"DPC248"	"MT"	843
"DPC250"	"JC"	829
"DPC250"	"MQ"	1102
"DPC251"	"ME"	1261
"DPC251"	"PQ"	1828
"DPC252"	"QT"	1129
"DPC252"	"TR"	804
"DPC253"	"AB"	1167
"DPC253"	"VL"	814
"DPC254"	"JR"	1696
"DPC254"	"VC"	324
"DPC255"	"BV"	1120
"DPC255"	"JO"	883
"DPC256"	"LL"	945
"DPC256"	"SA"	1075
"DPC256"	"XX"	8
"DPC258"	"??"	1
"DPC258"	"JN"	584
"DPC258"	"KT"	679
"DPC258"	"SI"	711
"DPC259"	"??"	1
"DPC259"	"F1"	343
"DPC259"	"F2"	540
"DPC259"	"M1"	1102
"DPC260"	"MR"	864
"DPC260"	"VT"	2573
"DPC261"	"AN"	636
"DPC261"	"BL"	956
"DPC261"	"CH"	316
"DPC261"	"DM"	256
"DPC262"	"AN"	1189
"DPC262"	"BL"	1014
"DPC263"	"MS"	1584
"DPC263"	"MT"	738
"DPC264"	"AD"	1081
"DPC264"	"BT"	936
"DPC265"	"PF"	1503
"DPC265"	"PM"	1522
"DPC266"	"AN"	1003
"DPC266"	"GW"	1041
"DPC267"	"AD"	381
"DPC267"	"BB"	1351
"DPC267"	"CH"	431
"DPC267"	"XX"	13
"DPC268"	"??"	2
"DPC268"	"CH"	651
"DPC268"	"KR"	975
"DPC268"	"LN"	550
"DPC269"	"BE"	1349
"DPC269"	"SH"	682
"DPC271"	"DV"	1240
"DPC271"	"HE"	101
"DPC271"	"MT"	282
"DPC271"	"PN"	303
"DPC271"	"ZZ"	29
"DPC272"	"FA"	864
"DPC272"	"FB"	1055
"DPC273"	"CS"	606
"DPC273"	"DN"	1351
"DPC274"	"FC"	1092
"DPC274"	"MR"	949
"DPC275"	"FN"	762
"DPC275"	"TI"	1178
"DPC277"	"DB"	726
"DPC277"	"LC"	791
"DPC277"	"TR"	417
"DPC277"	"WN"	198
"DPC278"	"FA"	1276
"DPC278"	"FB"	776
"DPC281"	"KA"	728
"DPC281"	"TM"	992
"DPC281"	"WD"	284
"DPC282"	"FA"	848
"DPC282"	"FB"	1216
"DPC285"	"KA"	1142
"DPC285"	"TN"	722
"DPC285"	"WD"	204
"DPC289"	"FA"	1330
"DPC289"	"FB"	656
"DPC290"	"FR"	1163
"DPC290"	"MQ"	789
"DPC291"	"OR"	1052
"DPC291"	"WL"	894
"DPC293"	"FY"	860
"DPC293"	"MK"	1143
"DPC294"	"AL"	928
"DPC294"	"SI"	1113
"DPC296"	"GE"	362
"DPC296"	"IR"	1843
"DPC297"	"HE"	542
"DPC297"	"JN"	336
"DPC297"	"RC"	264
"DPC297"	"ST"	329
"DPC297"	"WY"	795
"DPC297"	"XX"	38
"DPC298"	"AU"	1012
"DPC298"	"BK"	1057
"DPC299"	"DI"	1162
"DPC299"	"KA"	1433
"DPC301"	"FC"	761
"DPC301"	"MT"	1192
"DPC302"	"BR"	287
"DPC302"	"CA"	664
"DPC302"	"JO"	865
"DPC302"	"PT"	327
"DPC303"	"DV"	1072
"DPC303"	"JO"	324
"DPC303"	"PT"	636
"DPC304"	"FJ"	232
"DPC304"	"FM"	270
"DPC304"	"MA"	623
"DPC304"	"ML"	230
"DPC304"	"MS"	656
"DPC305"	"??"	1
"DPC305"	"EQ"	1702
"DPC305"	"WG"	924
"DPC306"	"DI"	881
"DPC306"	"EV"	1251
"DPC307"	"AT"	1000
"DPC307"	"TN"	962
"DPC308"	"NG"	1245
"DPC308"	"VC"	1828
"DPC309"	"KW"	1354
"DPC309"	"MH"	773
"DPC310"	"HC"	922
"DPC310"	"WK"	1181
"DPC311"	"BD"	917
"DPC311"	"CO"	1577
"DPC313"	"GW"	398
"DPC313"	"PQ"	382
"DPC313"	"RT"	1297
"DPC316"	"FY"	70
"DPC316"	"NS"	2076
"DPC316"	"RE"	993
"DPC317"	"AR"	1291
"DPC317"	"BB"	837
"DPC318"	"AA"	961
"DPC318"	"BN"	1052
"DPC319"	"JL"	1421
"DPC319"	"VI"	700
"DPC320"	"AE"	906
"DPC320"	"BG"	2262
"DPC322"	"AN"	833
"DPC322"	"BJ"	1411
"DPC323"	"DN"	1022
"DPC323"	"TJ"	1618
"DPC326"	"AL"	1255
"DPC326"	"JI"	2082
"DPC328"	"KT"	907
"DPC328"	"RW"	1071
"DPC329"	"??"	16
"DPC329"	"AN"	1696
"DPC329"	"BH"	1605
"DPC329"	"XX"	155
"DPC330"	"AY"	1217
"DPC330"	"BN"	1552
"DPC331"	"AG"	1074
"DPC331"	"BH"	1496
"DPC333"	"AD"	980
"DPC333"	"BE"	1370
"DPC334"	"LR"	1483
"DPC334"	"QT"	1303
"DPC336"	"??"	1
"DPC336"	"DK"	1608
"DPC336"	"EB"	267
"DPC336"	"LN"	626
"DPC336"	"TR"	411
"DPC344"	"DN"	1767
"DPC344"	"TJ"	1261
"DPC345"	"AN"	959
"DPC345"	"BJ"	1020
"DPC346"	"KT"	795
"DPC346"	"RW"	1103
"DPF001"	"CB"	859
"DPF001"	"WA"	1046
"DPF002"	"AC"	256
"DPF002"	"BP"	1778
"DPF003"	"AW"	1075
"DPF003"	"BK"	864
"DPF005"	"BJ"	1068
"DPF005"	"SI"	871
"DPF006"	"CM"	349
"DPF006"	"ST"	441
"DPF006"	"XX"	11
"DPF007"	"SD"	976
"DPF007"	"VP"	717
"DPF008"	"AP"	1158
"DPF008"	"BR"	698
"DPF009"	"PT"	1730
"DPF009"	"SM"	263
"DPF010"	"DW"	337
"DPF010"	"SI"	407
"DPF011"	"LG"	306
"DPF011"	"SI"	204
"DPF012"	"HJ"	796
"DPF012"	"SI"	688
"DPF012"	"XX"	10
"DPF014"	"DY"	405
"DPF014"	"MS"	937
"DPF015"	"MS"	436
"DPF015"	"RT"	1097
"DPF017"	"FR"	1001
"DPF017"	"MJ"	921
"DPF019"	"FP"	722
"DPF019"	"MP"	214
"DPF020"	"FA"	158
"DPF020"	"FB"	193
"DPF021"	"FA"	1041
"DPF021"	"FB"	762
"DPF023"	"F1"	487
"DPF023"	"F2"	582
"DPF023"	"XM"	12
"DPF024"	"FA"	663
"DPF024"	"FB"	418
"DPF024"	"MA"	84
"DPF025"	"FA"	402
"DPF025"	"FB"	222
"DPF026"	"AS"	383
"DPF026"	"BN"	1824
"DPF027"	"AK"	1118
"DPF027"	"BG"	945
"DPF028"	"AL"	1459
"DPF028"	"BQ"	407
"DPF029"	"BH"	608
"DPF029"	"ML"	1536
"DPF030"	"AC"	1495
"DPF030"	"BV"	847
"DPF032"	"AN"	822
"DPF032"	"CW"	1261
"DPF036"	"GR"	1186
"DPF036"	"NL"	1055
"DPF039"	"NL"	874
"DPF039"	"SS"	1047
"DPF041"	"AA"	286
"DPF041"	"MM"	137
"DPF043"	"PG"	477
"DPF043"	"RH"	492
"DPF045"	"BM"	252
"DPF045"	"MA"	335
"DPF048"	"LB"	615
"DPF048"	"SL"	489
"DPF049"	"AA"	402
"DPF049"	"BD"	234
"DPF051"	"AD"	315
"DPF051"	"GB"	347
"DPF057"	"DG"	816
"DPF057"	"MT"	1422
"DPF064"	"JM"	497
"DPF064"	"NF"	176
"DPF065"	"JO"	1106
"DPF065"	"NG"	521
"DPF066"	"NA"	563
"DPF066"	"PR"	681
"DPF067"	"ER"	818
"DPF067"	"PM"	694
"DPF068"	"PL"	304
"DPF068"	"TR"	166
"DPF069"	"JK"	961
"DPF069"	"PS"	1270
"DPF070"	"ER"	586
"DPF070"	"PM"	744
"DPF070"	"XX"	5
"DPF072"	"MM"	492
"DPF072"	"PM"	816
"DPF074"	"MN"	951
"DPF074"	"OQ"	1568
"DPF076"	"HA"	1064
"DPF076"	"ST"	750
"DPF078"	"JA"	1003
"DPF078"	"NP"	1117
"DPH001"	"SS"	2478
"DPH001"	"XI"	194
"DPH001"	"XT"	102
"DPH003"	"EB"	2050
"DPH003"	"XI"	142
"DPH003"	"XT"	163
"DPH004"	"GN"	2182
"DPH004"	"XI"	44
"DPH005"	"BK"	2052
"DPH005"	"XI"	25
"DPH009"	"HA"	2065
"DPH009"	"XX"	895
"DPH011"	"FW"	2054
"DPH011"	"IM"	100
"DPH011"	"XI"	283
"DPH013"	"IR"	326
"DPH013"	"OL"	1809
"DPH014"	"IM"	318
"DPH014"	"SR"	1833
"DPH015"	"SV"	2050
"DPH015"	"XX"	567
"DPH018"	"IT"	754
"DPH018"	"SW"	1601
"DPP001"	"IR"	1050
"DPP001"	"JO"	1264
"DPP002"	"IR"	551
"DPP002"	"JM"	1675
"DPP003"	"IR"	1168
"DPP003"	"JO"	1771
"DPP004"	"DS"	2339
"DPP004"	"IR"	624
"DPP005"	"HN"	1662
"DPP005"	"IH"	250
"DPP005"	"IW"	671
"DPP006"	"AW"	1904
"DPP006"	"IR"	884
"DPP006"	"XX"	555
"DPP007"	"IR"	291
"DPP007"	"LM"	2669
"DPP008"	"??"	1
"DPP008"	"IK"	420
"DPP008"	"MR"	1960
"DPP008"	"XX"	16
"DPP009"	"IB"	1222
"DPP009"	"ML"	2068
"DPP010"	"IB"	592
"DPP010"	"TA"	1983
"DPP010"	"XX"	49
"DPP011"	"DL"	1212
"DPP011"	"IB"	1352
"MSN020"	"GM"	54
"MSN020"	"NB"	803
"MSN031"	"HT"	701
"MSN037"	"SV"	481
"MSN037"	"Z1"	39
"MSN037"	"Z2"	34
"MSN037"	"Z3"	30
"MSN039"	"VM"	557
"MSN039"	"ZZ"	41
"MSN061"	"RT"	733
"MSN061"	"Z1"	50
"MSN061"	"Z2"	52
"MSN061"	"Z3"	61
"MSN062"	"HT"	666
"MSN087"	"HH"	739
"MSN088"	"JR"	926
"MSN089"	"HH"	912
"MSN089"	"XX"	31
"MSN089"	"Z1"	31
"MSN089"	"Z2"	20
"MSN089"	"Z3"	18
"MSN090"	"HH"	822
"MSN090"	"ZZ"	23
"MSN093"	"GW"	989
"MSN094"	"LS"	900
"MSN094"	"ZZ"	28
"MSN096"	"RT"	722
"MSN096"	"Z1"	43
"MSN096"	"Z2"	39
"MSN109"	"DV"	809
"MSN111"	"DV"	672
"MSN112"	"YD"	707
"MSN114"	"YD"	638
"MSN114"	"ZZ"	43
"MSN118"	"DS"	623
"MSN119"	"GM"	614
"MSN119"	"ZZ"	4
"MSN123"	"RS"	759
"MSN124"	"CK"	580
"MSN126"	"BW"	562
"MSN127"	"CK"	597
"MSN132"	"DV"	794
"MSN132"	"Z1"	61
"MSN132"	"Z2"	43
"MSN132"	"Z3"	42
"MSN134"	"DV"	781
"MSN141"	"VM"	846
"MSN156"	"WH"	1006
"MSN174"	"HT"	812
"MSN182"	"NW"	1167
"MSN186"	"AD"	646
"MSN186"	"BT"	421
"MSN187"	"JB"	412
"MSN187"	"RL"	353
"MSN196"	"TB"	833
"MSN198"	"TB"	737
"MSN200"	"JP"	549
"MSN202"	"JP"	1056
"MSN207"	"NW"	972
"MST002"	"PW"	2086
"MST030"	"JR"	2306
"MST043"	"KC"	2062
"MST049"	"AB"	2282
"MST051"	"EG"	2371
"MSW004"	"OD"	393
"MSW007"	"SR"	338
"MSW009"	"SR"	328
"MSW011"	"OD"	249
"MSW012"	"OD"	386
"MSW013"	"BL"	390
"MSW014"	"SR"	303
"MSW015"	"SR"	370
"MSW036"	"DV"	122
"MSW037"	"DV"	120
"MSW039"	"YD"	146
"MSW055"	"PM"	496
"MUC002"	"??"	1
"MUC002"	"GG"	285
"MUC002"	"JM"	2144
"MUC002"	"WS"	703
"MUC002"	"XX"	41
"MUC005"	"AM"	1768
"MUC005"	"CM"	1091
"MUC005"	"XT"	224
"MUC008"	"AR"	1754
"MUC008"	"JP"	547
"MUC011"	"PG"	868
"MUC011"	"RP"	2159
"MUC012"	"SS"	2139
"MUC014"	"BK"	2654
"MUC020"	"BW"	868
"MUC020"	"JC"	262
"MUC020"	"PW"	605
"MUC020"	"RS"	829
"MUC024"	"BT"	1845
"MUC024"	"KL"	1331
"MUC028"	"PM"	634
"MUC028"	"SB"	1399
"MUC028"	"XX"	24
"MUC029"	"AW"	1598
"MUC029"	"PM"	475
"MUC029"	"X?"	1
"MUC029"	"XX"	4977
"MUJ009"	"JP"	2390
"MUJ010"	"MJ"	2093
"MUL001"	"WW"	1843
"MUL001"	"XX"	7
"MUL002"	"BM"	2043
"MUL003"	"KI"	2215
"MUL005"	"YR"	2074
"MUL006"	"RB"	2163
"MUL006"	"XX"	56
"MUL007"	"SB"	2111
"MUL007"	"X1"	2
"MUL007"	"X2"	1
"MUL008"	"MK"	2142
"MUL011"	"AC"	2281
"MUL013"	"RR"	2314
"MUL017"	"GP"	2150
"MUL024"	"RH"	2329
"MUL025"	"LN"	2373
"MUL025"	"X1"	1
"MUL025"	"X2"	25
"MUL025"	"X3"	3
"MUL029"	"QR"	2031
"MUL029"	"XX"	8
"MUL030"	"WR"	2155
"MUS001"	"FG"	2065
"MUS002"	"TT"	1232
"MUS002"	"XX"	44
"MUS003"	"TT"	1579
"MUS003"	"X1"	8
"MUS003"	"XX"	79
"MUS004"	"ST"	2089
"MUS004"	"XX"	147
"MUS005"	"LJ"	1506
"MUS005"	"X1"	1
"MUS005"	"XC"	28
"MUS005"	"XX"	223
"MUS006"	"PM"	1421
"MUS006"	"XX"	288
"MUS008"	"PF"	1494
"MUS008"	"XX"	1035
"MUS008"	"ZZ"	3
"MUS009"	"PF"	807
